timestamp,can_id_hex,dlc,payload_hex
2026-08-20 21:10:38,0x102,1,3a
2026-08-20 21:10:39,0x100,1,36
2026-08-20 21:10:39,0x101,2,04d5
2026-08-20 21:10:39,0x102,1,39
2026-08-20 21:10:40,0x100,1,37
2026-08-20 21:10:40,0x101,2,047b
2026-08-20 21:10:40,0x102,1,38
2026-08-20 21:10:41,0x100,1,35
2026-08-20 21:10:41,0x101,2,049e
2026-08-20 21:10:41,0x102,1,38
2026-08-20 21:10:42,0x100,1,37
2026-08-20 21:10:42,0x101,2,0409
2026-08-20 21:10:42,0x102,1,37
2026-08-20 21:10:43,0x100,1,35
2026-08-20 21:10:43,0x101,2,03ae
2026-08-20 21:10:43,0x102,1,37
2026-08-20 21:10:44,0x100,1,36
2026-08-20 21:10:44,0x101,2,0322
2026-08-20 21:10:44,0x102,1,37
2026-08-20 21:10:45,0x100,1,38
2026-08-20 21:10:45,0x101,2,039f
2026-08-20 21:10:45,0x102,1,36
2026-08-20 21:10:46,0x100,1,37
2026-08-20 21:10:46,0x101,2,0352
2026-08-20 21:10:46,0x102,1,35
2026-08-20 21:10:47,0x100,1,32
2026-08-20 21:10:47,0x101,2,03a3
2026-08-20 21:10:47,0x102,1,34
2026-08-20 21:10:48,0x100,1,30
2026-08-20 21:10:48,0x101,2,03f2
2026-08-20 21:10:48,0x102,1,35
2026-08-20 21:10:49,0x100,1,2d
2026-08-20 21:10:49,0x101,2,0484
2026-08-20 21:10:49,0x102,1,35
2026-08-20 21:10:50,0x100,1,2a
2026-08-20 21:10:50,0x101,2,04ef
2026-08-20 21:10:50,0x102,1,35
2026-08-20 21:10:51,0x100,1,25
2026-08-20 21:10:51,0x101,2,04c0
2026-08-20 21:10:51,0x102,1,35
2026-08-20 21:10:52,0x100,1,25
2026-08-20 21:10:52,0x101,2,0545
2026-08-20 21:10:52,0x102,1,34
2026-08-20 21:10:53,0x100,1,26
2026-08-20 21:10:53,0x101,2,04b6
2026-08-20 21:10:53,0x102,1,35
2026-08-20 21:10:54,0x100,1,29
2026-08-20 21:10:54,0x101,2,044b
2026-08-20 21:10:54,0x102,1,34
2026-08-20 21:10:55,0x100,1,2e
2026-08-20 21:10:55,0x101,2,0494
2026-08-20 21:10:55,0x102,1,34
2026-08-20 21:10:56,0x100,1,2d
2026-08-20 21:10:56,0x101,2,04a8
2026-08-20 21:10:56,0x102,1,34
2026-08-20 21:10:57,0x100,1,2b
2026-08-20 21:10:57,0x101,2,042a
2026-08-20 21:10:57,0x102,1,34
2026-08-20 21:10:58,0x100,1,26
2026-08-20 21:10:58,0x101,2,04b8
2026-08-20 21:10:58,0x102,1,33
2026-08-20 21:10:59,0x100,1,24
2026-08-20 21:10:59,0x101,2,0527
2026-08-20 21:10:59,0x102,1,34
2026-08-20 21:11:00,0x100,1,20
2026-08-20 21:11:00,0x101,2,056e
2026-08-20 21:11:00,0x102,1,34
2026-08-20 21:11:01,0x100,1,1e
2026-08-20 21:11:01,0x101,2,052d
2026-08-20 21:11:01,0x102,1,33
2026-08-20 21:11:02,0x100,1,1e
2026-08-20 21:11:02,0x101,2,04da
2026-08-20 21:11:02,0x102,1,33
2026-08-20 21:11:03,0x100,1,22
2026-08-20 21:11:03,0x101,2,056b
2026-08-20 21:11:03,0x102,1,34
2026-08-20 21:11:04,0x100,1,20
